historicSpotId,name,areaName,yomigana,latitude,longitude,typeRegisterStamp,url,gpsMeter,worship_card_top_image_url,worshipUrl,img,date,dateStart,dateEnd,proverbs,timeStartWeekDays,timeEndWeekDays,timeStartHoliday,timeEndHoliday
koudai_spot_01,"神社検索ｼｽﾃﾑ研究部会
　部会長：新田均",活動拠点,"　皇學館大学
現代日本社会学部",34.48450734048243,136.72693322889572,sample,https://jinja-net.jp/jinja-all/index.html,20,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,,参拝画像.png,,,,人間のやったことは、人間がまだやれることの100分の1にすぎない。(豊田佐吉 ),9:00,10:00,8:00,12:00
koudai_spot_02,"　　神社史研究会　　
　会長：白山芳太郎",活動団体,"皇學館大学神道学科
　式内社研究部会",34.48450734048243,136.72693322889572,sample,https://www.jinja-net.jp/jinja-shi/,20,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,https://smart-gosyuin.jp/,参拝画像.png,,,,進まざる者は必ず退き、退かざる者は必ず進む。(福澤諭吉),9:00,10:00,8:00,12:00
asahi2_spot_1,稲荷社大祭,朝日神社4月8日,10時～16時,35.169105147530715,136.9038978548256,gpsDate,https://jinja-net.jp/stamp-asahi2/image/%E6%9C%9D%E6%97%A5%E7%A5%9E%E7%A4%BE%E7%94%B1%E7%B7%92.png,100,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,稲荷.png,2025-04-08,2026-04-08 10:00:00,2026-04-08 16:00:00,1-7　秋の野のみ草刈り葺き宿れりし宇治のみやこの仮廬し思ほゆ / 額田王,9:00,10:00,8:00,12:00
asahi2_spot_2,夏越し祓い,朝日神社7月18・19日,17時～19時半,35.169105147530715,136.9038978548256,gpsDate,https://jinja-net.jp/stamp-asahi2/image/%E6%9C%9D%E6%97%A5%E7%A5%9E%E7%A4%BE%E7%94%B1%E7%B7%92.png,100,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,夏祭り.png,2025/7/18,2025-07-18 17:00:00,2025-07-18 19:30:00,1-8　熟田津に船乗りせむと月待てば潮もかなひぬ今は漕ぎ出でな / 額田王,9:00,10:00,8:00,12:00
asahi2_spot_3,箸感謝祭,朝日神社8月4日,10時～,35.169105147530715,136.9038978548256,gpsDate,https://jinja-net.jp/stamp-asahi2/image/%E6%9C%9D%E6%97%A5%E7%A5%9E%E7%A4%BE%E7%94%B1%E7%B7%92.png,100,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,夏祭り.png,2025/7/19,2025-07-19 17:00:00,2025-07-19 19:30:00,1-28　春過ぎて夏来るらし白たへの衣干したり天の香具山 / 持統天皇,9:00,10:00,8:00,12:00
asahi2_spot_4,公孫樹龍神社大祭,朝日神社9月5日,10時～,35.169105147530715,136.9038978548256,gpsDate,https://jinja-net.jp/stamp-asahi2/image/%E6%9C%9D%E6%97%A5%E7%A5%9E%E7%A4%BE%E7%94%B1%E7%B7%92.png,100,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,公孫樹.png,2025/9/5,2025-09-05 10:00:00,2025-09-05 14:00:00,1-60　宵に逢ひて朝面無み名張にか日長き妹が廬せりけむ / 長皇子,9:00,10:00,8:00,12:00
asahi2_spot_5,例大祭,朝日神社10月18日,10時～,35.169105147530715,136.9038978548256,gpsDate,https://jinja-net.jp/stamp-asahi2/image/%E6%9C%9D%E6%97%A5%E7%A5%9E%E7%A4%BE%E7%94%B1%E7%B7%92.png,100,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/10/18,2025-10-18 10:00:00,2025-10-18 12:00:00,2-190　真木柱太き心はありしかどこのあが心鎮めかねつも / 舎人,10:00,11:00,8:00,12:00
asahi2_spot_6,神輿渡御神事,朝日神社10月18日,13時～17時,35.169105147530715,136.9038978548256,gpsDate,https://jinja-net.jp/stamp-asahi2/image/%E6%9C%9D%E6%97%A5%E7%A5%9E%E7%A4%BE%E7%94%B1%E7%B7%92.png,100,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/10/18,2025-10-18 13:00:00,2025-10-18 17:00:00,2-163　神風の伊勢の国にもあらましをなにしか来けむ君もあらなくに / 大伯皇女,9:00,10:00,8:00,12:00
asahi2_spot_7,名刺感謝祭,朝日神社11月11日,14時～,35.169105147530715,136.9038978548256,gpsDate,https://jinja-net.jp/stamp-asahi2/image/%E6%9C%9D%E6%97%A5%E7%A5%9E%E7%A4%BE%E7%94%B1%E7%B7%92.png,100,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/11/11,2025-11-11 14:00:00,2025-11-11 17:00:00,2-149　人はよし思ひ止むとも玉曼影に見えつつ忘らえぬかも / 倭大后,9:00,10:00,8:00,12:00
asahi2_spot_8,七五三詣祈祷,朝日神社11月15日,9時～17時,35.169105147530715,136.9038978548256,gpsDate,https://jinja-net.jp/stamp-asahi2/image/%E6%9C%9D%E6%97%A5%E7%A5%9E%E7%A4%BE%E7%94%B1%E7%B7%92.png,100,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,七五三.png,2025/11/15,2025-11-15 09:00:00,2025-11-15 17:00:00,2-124　人皆は今は長しとたけと言へど君が見し髪乱れたりとも〔娘子〕 / 園臣生羽之女,9:00,10:00,8:00,12:00
